person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
"City Marshal John Thomas ""Tom"" Hill","Ballinger Police Department, TX","EOW: Sunday, August 8, 1886",Cause of Death: Gunfire,Gunfire,1886-08-08,1886,FALSE,Ballinger Police Department, TX
Police Officer William D. Montgomery,"Montgomery Police Department, AL","EOW: Tuesday, August 24, 1886",Cause of Death: Gunfire,Gunfire,1886-08-24,1886,FALSE,Montgomery Police Department, AL
Deputy Sheriff Jailer John William Benjamin Adair,"Hunt County Sheriff's Office, TX","EOW: Saturday, August 28, 1886",Cause of Death: Stabbed,Stabbed,1886-08-28,1886,FALSE,Hunt County Sheriff's Office, TX
Jailer William C. M. Glazner,"Jones County Sheriff's Department, TX","EOW: Sunday, September 5, 1886",Cause of Death: Assault,Assault,1886-09-05,1886,FALSE,Jones County Sheriff's Department, TX
Patrolman George H. Woods,"Pittsburgh Police Department, PA","EOW: Monday, September 6, 1886",Cause of Death: Fall,Fall,1886-09-06,1886,FALSE,Pittsburgh Police Department, PA
"Sheriff Isham Lafayette ""Fate"" Elder","Karnes County Sheriff's Department, TX","EOW: Monday, September 6, 1886",Cause of Death: Gunfire,Gunfire,1886-09-06,1886,FALSE,Karnes County Sheriff's Department, TX
"Deputy Sheriff James J. ""Bud"" Elder","Karnes County Sheriff's Department, TX","EOW: Monday, September 6, 1886",Cause of Death: Gunfire,Gunfire,1886-09-06,1886,FALSE,Karnes County Sheriff's Department, TX
Deputy Sheriff John M. Bailey,"Karnes County Sheriff's Department, TX","EOW: Tuesday, September 7, 1886",Cause of Death: Gunfire,Gunfire,1886-09-07,1886,FALSE,Karnes County Sheriff's Department, TX
Officer Ephriam John Hubbard,"Spokane Police Department, WA","EOW: Tuesday, September 7, 1886",Cause of Death: Gunfire,Gunfire,1886-09-07,1886,FALSE,Spokane Police Department, WA
City Marshal George Tabler,"Longview Police Department, TX","EOW: Friday, September 24, 1886",Cause of Death: Gunfire,Gunfire,1886-09-24,1886,FALSE,Longview Police Department, TX
Constable Thomas Cummins,"Jefferson Township Constable's Office, IN","EOW: Monday, September 27, 1886",Cause of Death: Gunfire,Gunfire,1886-09-27,1886,FALSE,Jefferson Township Constable's Office, IN
Police Officer John R. Pugh,"Montgomery Police Department, AL","EOW: Friday, October 1, 1886",Cause of Death: Gunfire,Gunfire,1886-10-01,1886,FALSE,Montgomery Police Department, AL
Constable John R. Agnew,"Fannin County Constable's Office - Precinct 1, TX","EOW: Saturday, October 2, 1886",Cause of Death: Gunfire,Gunfire,1886-10-02,1886,FALSE,Fannin County Constable's Office - Precinct 1, TX
Deputy Collector James N. Hamilton,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Monday, October 18, 1886",Cause of Death: Gunfire,Gunfire,1886-10-18,1886,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Deputy Sheriff Samuel E. Lindsey,"Rains County Sheriff's Department, TX","EOW: Wednesday, November 3, 1886",Cause of Death: Gunfire,Gunfire,1886-11-03,1886,FALSE,Rains County Sheriff's Department, TX
Deputy Warden Charles W. Niles,"Maine Department of Inland Fisheries and Wildlife - Warden Service, ME","EOW: Monday, November 8, 1886",Cause of Death: Gunfire,Gunfire,1886-11-08,1886,FALSE,Maine Department of Inland Fisheries and Wildlife - Warden Service, ME
Game Warden Lyman O. Hill,"Maine Department of Inland Fisheries and Wildlife - Warden Service, ME","EOW: Monday, November 8, 1886",Cause of Death: Gunfire,Gunfire,1886-11-08,1886,FALSE,Maine Department of Inland Fisheries and Wildlife - Warden Service, ME
Deputy Marshal E. D. Henry,"Albuquerque Police Department, NM","EOW: Saturday, November 20, 1886",Cause of Death: Gunfire,Gunfire,1886-11-20,1886,FALSE,Albuquerque Police Department, NM
City Marshal Robert McGuire,"Albuquerque Police Department, NM","EOW: Friday, November 26, 1886",Cause of Death: Gunfire,Gunfire,1886-11-26,1886,FALSE,Albuquerque Police Department, NM
Officer Edward R. Kyser,"Parsons Police Department, KS","EOW: Saturday, December 4, 1886",Cause of Death: Gunfire,Gunfire,1886-12-04,1886,FALSE,Parsons Police Department, KS
Officer Edwin J. Osgood,"San Francisco Police Department, CA","EOW: Friday, December 17, 1886",Cause of Death: Stabbed,Stabbed,1886-12-17,1886,FALSE,San Francisco Police Department, CA
Police Officer Frank West,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Friday, December 17, 1886",Cause of Death: Gunfire,Gunfire,1886-12-17,1886,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Deputy U.S. Marshal Sam Sixkiller,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, December 24, 1886",Cause of Death: Gunfire,Gunfire,1886-12-24,1886,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Charles Brown McKinney,"La Salle County Sheriff's Office, TX","EOW: Sunday, December 26, 1886",Cause of Death: Gunfire,Gunfire,1886-12-26,1886,FALSE,La Salle County Sheriff's Office, TX
Special Police Officer William B. Snow,"Lake Shore and Michigan Southern Railroad Police Department, RR","EOW: Tuesday, December 28, 1886",Cause of Death: Struck by train,Struck by train,1886-12-28,1886,FALSE,Lake Shore and Michigan Southern Railroad Police Department, RR
Sheriff Benjamin F. Irey,"Chester County Sheriff's Office, PA","EOW: Monday, January 3, 1887",Cause of Death: Struck by train,Struck by train,1887-01-03,1887,FALSE,Chester County Sheriff's Office, PA
Turnkey John Walters,"Seneca County Sheriff's Department, NY","EOW: Monday, January 10, 1887",Cause of Death: Assault,Assault,1887-01-10,1887,FALSE,Seneca County Sheriff's Department, NY
Roundsman Robert A. Montgomery,"New York Municipal Police Department, NY","EOW: Tuesday, January 11, 1887",Cause of Death: Gunfire,Gunfire,1887-01-11,1887,FALSE,New York Municipal Police Department, NY
Special Deputy Marshal Mark Kuykendall,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal William Kelly,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Henry Smith,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, January 17, 1887",Cause of Death: Stabbed,Stabbed,1887-01-17,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Constable John A. Bratton,"Grant County Sheriff's Office, AR","EOW: Tuesday, February 1, 1887",Cause of Death: Gunfire,Gunfire,1887-02-01,1887,FALSE,Grant County Sheriff's Office, AR
Constable H. L. Smith,"Grant County Sheriff's Office, AR","EOW: Tuesday, February 1, 1887",Cause of Death: Gunfire,Gunfire,1887-02-01,1887,FALSE,Grant County Sheriff's Office, AR
Detective James M. Shepard,"Buffalo Police Department, NY","EOW: Wednesday, February 2, 1887",Cause of Death: Structure collapse,Structure collapse,1887-02-02,1887,FALSE,Buffalo Police Department, NY
Deputy Sheriff George W. Lockhart,"Apache County Sheriff's Office, AZ","EOW: Monday, February 7, 1887",Cause of Death: Gunfire,Gunfire,1887-02-07,1887,FALSE,Apache County Sheriff's Office, AZ
Detective William Hulligan,"Cleveland Police Department, OH","EOW: Tuesday, February 8, 1887",Cause of Death: Assault,Assault,1887-02-08,1887,FALSE,Cleveland Police Department, OH
Watchman Zachariah Reynolds,"United States Department of the Treasury - Guard Force, US","EOW: Sunday, February 20, 1887",Cause of Death: Fall,Fall,1887-02-20,1887,FALSE,United States Department of the Treasury - Guard Force, US
Patrolman Patrick Riley,"Cincinnati Police Department, OH","EOW: Tuesday, March 8, 1887",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1887-03-08,1887,FALSE,Cincinnati Police Department, OH
"Private James H. ""Jim"" Moore","Texas Rangers, TX","EOW: Thursday, March 31, 1887",Cause of Death: Gunfire,Gunfire,1887-03-31,1887,FALSE,Texas Rangers, TX
Patrolman Michael O'Brien,"Chicago Police Department, IL","EOW: Sunday, April 3, 1887",Cause of Death: Gunfire,Gunfire,1887-04-03,1887,FALSE,Chicago Police Department, IL
Deputy Sheriff Gabriel Leander  Pool,"Milam County Sheriff's Office, TX","EOW: Thursday, April 7, 1887",Cause of Death: Gunfire,Gunfire,1887-04-07,1887,FALSE,Milam County Sheriff's Office, TX
Officer Martin Duggan,"Leadville Police Department, CO","EOW: Sunday, April 10, 1887",Cause of Death: Gunfire,Gunfire,1887-04-10,1887,FALSE,Leadville Police Department, CO
Deputy U.S. Marshal William Fields,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, April 10, 1887",Cause of Death: Gunfire,Gunfire,1887-04-10,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Dan Maples,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, May 5, 1887",Cause of Death: Gunfire,Gunfire,1887-05-05,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Private Julian F. Arnold,"Alexandria Police Department, VA","EOW: Sunday, May 15, 1887",Cause of Death: Gunfire,Gunfire,1887-05-15,1887,FALSE,Alexandria Police Department, VA
Deputy Sheriff William Cox,"Dubois County Sheriff's Department, IN","EOW: Monday, May 23, 1887",Cause of Death: Gunfire,Gunfire,1887-05-23,1887,FALSE,Dubois County Sheriff's Department, IN
Policeman George Jackson,"Philadelphia Police Department, PA","EOW: Monday, May 23, 1887",Cause of Death: Assault,Assault,1887-05-23,1887,FALSE,Philadelphia Police Department, PA
City Marshal Edward Whitaker,"Georgetown Police Department, OH","EOW: Wednesday, May 25, 1887",Cause of Death: Gunfire,Gunfire,1887-05-25,1887,FALSE,Georgetown Police Department, OH
Town Marshal John Conger,"Oak Ridge Marshal's Office, LA","EOW: Monday, June 27, 1887",Cause of Death: Gunfire,Gunfire,1887-06-27,1887,FALSE,Oak Ridge Marshal's Office, LA
Deputy Jailer Tim Anderson,"Madison County Sheriff's Office, AL","EOW: Thursday, July 7, 1887",Cause of Death: Assault,Assault,1887-07-07,1887,FALSE,Madison County Sheriff's Office, AL
Patrolman William Hallaran,"Chicago Police Department, IL","EOW: Saturday, July 16, 1887",Cause of Death: Gunfire,Gunfire,1887-07-16,1887,FALSE,Chicago Police Department, IL
Town Marshal George Thomas,"Pineville Police Department, KY","EOW: Saturday, July 30, 1887",Cause of Death: Gunfire,Gunfire,1887-07-30,1887,FALSE,Pineville Police Department, KY
Constable Anthony DeLong,"Craig Constable's Office, MO","EOW: Saturday, July 30, 1887",Cause of Death: Gunfire,Gunfire,1887-07-30,1887,FALSE,Craig Constable's Office, MO
Deputy Sheriff William J. Stanley,"Williamson County Sheriff's Office, TX","EOW: Saturday, August 6, 1887",Cause of Death: Gunfire,Gunfire,1887-08-06,1887,FALSE,Williamson County Sheriff's Office, TX
Sheriff Charles L. Lynch,"Alpena County Sheriff's Department, MI","EOW: Wednesday, August 17, 1887",Cause of Death: Gunfire,Gunfire,1887-08-17,1887,FALSE,Alpena County Sheriff's Department, MI
"Town Marshal J. T. ""Tode"" Hurst","Decatur Police Department, GA","EOW: Friday, August 26, 1887",Cause of Death: Gunfire,Gunfire,1887-08-26,1887,FALSE,Decatur Police Department, GA
Patrolman Philip L. Robinson,"Chicago Police Department, IL","EOW: Monday, September 5, 1887",Cause of Death: Gunfire,Gunfire,1887-09-05,1887,FALSE,Chicago Police Department, IL
Deputy Sheriff Joshua B. Warman,"Smith County Sheriff's Office, TN","EOW: Saturday, September 17, 1887",Cause of Death: Gunfire,Gunfire,1887-09-17,1887,FALSE,Smith County Sheriff's Office, TN
Constable Jerry M. Matthews,"Matagorda County Constable's Office - Precinct 3, TX","EOW: Sunday, September 25, 1887",Cause of Death: Gunfire,Gunfire,1887-09-25,1887,FALSE,Matagorda County Constable's Office - Precinct 3, TX
Policeman William D. Johnston,"Philadelphia Police Department, PA","EOW: Monday, October 3, 1887",Cause of Death: Gunfire,Gunfire,1887-10-03,1887,FALSE,Philadelphia Police Department, PA
Patrolman Joseph Boyle,"Louisville Police Department, KY","EOW: Friday, October 7, 1887",Cause of Death: Gunfire,Gunfire,1887-10-07,1887,FALSE,Louisville Police Department, KY
City Marshal John E. Martindale,"Cuero Police Department, TX","EOW: Tuesday, October 25, 1887",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1887-10-25,1887,FALSE,Cuero Police Department, TX
Patrolman Patrick J. Treanor,"New York Municipal Police Department, NY","EOW: Monday, October 31, 1887",Cause of Death: Struck by train,Struck by train,1887-10-31,1887,FALSE,New York Municipal Police Department, NY
Patrolman John Keegan,"Chicago Police Department, IL","EOW: Friday, November 4, 1887",Cause of Death: Gunfire,Gunfire,1887-11-04,1887,FALSE,Chicago Police Department, IL
Deputy U.S. Marshal John Carleton,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 5, 1887",Cause of Death: Gunfire,Gunfire,1887-11-05,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Maurice B. Moore,"Travis County Sheriff's Office, TX","EOW: Thursday, November 10, 1887",Cause of Death: Gunfire,Gunfire,1887-11-10,1887,FALSE,Travis County Sheriff's Office, TX
Deputy U.S. Marshal Frank Dalton,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 27, 1887",Cause of Death: Gunfire,Gunfire,1887-11-27,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Frank Seip,"Cincinnati Police Department, OH","EOW: Friday, December 2, 1887",Cause of Death: Duty related illness,Duty related illness,1887-12-02,1887,FALSE,Cincinnati Police Department, OH
"Deputy U.S. Marshal E. A. ""Ed"" Stokley","United States Department of Justice - United States Marshals Service, US","EOW: Saturday, December 3, 1887",Cause of Death: Gunfire,Gunfire,1887-12-03,1887,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff Gabriel B. Hollingsworth, Jr.","Arapahoe County Sheriff's Office, CO","EOW: Saturday, December 10, 1887",Cause of Death: Gunfire,Gunfire,1887-12-10,1887,FALSE,Arapahoe County Sheriff's Office, CO
Constable John Nimrod Ferguson,"Union Parish Ward 8 Constable's Office, LA","EOW: Friday, December 16, 1887",Cause of Death: Gunfire,Gunfire,1887-12-16,1887,FALSE,Union Parish Ward 8 Constable's Office, LA
Sheriff Henry Harrison Winters,"Hickman County Sheriff's Office, KY","EOW: Saturday, December 31, 1887",Cause of Death: Gunfire,Gunfire,1887-12-31,1887,FALSE,Hickman County Sheriff's Office, KY
Patrolman Joseph Glenn,"Wheeling Police Department, WV","EOW: Tuesday, January 17, 1888",Cause of Death: Gunfire,Gunfire,1888-01-17,1888,FALSE,Wheeling Police Department, WV
Deputy Sheriff John Manning Awtrey,"Tuscaloosa County Sheriff's Department, AL","EOW: Tuesday, January 24, 1888",Cause of Death: Gunfire,Gunfire,1888-01-24,1888,FALSE,Tuscaloosa County Sheriff's Department, AL
Chief Constable Louis Drucker,"New Canaan Police Department, CT","EOW: Wednesday, January 25, 1888",Cause of Death: Gunfire,Gunfire,1888-01-25,1888,FALSE,New Canaan Police Department, CT
Posse Member Medley Hair,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 28, 1888",Cause of Death: Gunfire,Gunfire,1888-01-28,1888,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Posse Member Jack Candy,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 28, 1888",Cause of Death: Gunfire,Gunfire,1888-01-28,1888,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Deputy Sheriff Albert Little,"Gonzales County Sheriff's Department, TX","EOW: Wednesday, February 8, 1888",Cause of Death: Gunfire,Gunfire,1888-02-08,1888,FALSE,Gonzales County Sheriff's Department, TX
Deputy Sheriff Bill Thompson,"Las Animas County Sheriff's Office, CO","EOW: Friday, February 17, 1888",Cause of Death: Gunfire,Gunfire,1888-02-17,1888,FALSE,Las Animas County Sheriff's Office, CO
Jailer George V. Tallman,"San Mateo County Sheriff's Office, CA","EOW: Friday, February 24, 1888",Cause of Death: Assault,Assault,1888-02-24,1888,FALSE,San Mateo County Sheriff's Office, CA
Deputy Sheriff Jacob Helbert,"Ashland County Sheriff's Department, OH","EOW: Saturday, February 25, 1888",Cause of Death: Gunfire,Gunfire,1888-02-25,1888,FALSE,Ashland County Sheriff's Department, OH
Constable William H. Kelly,"Ashland County Sheriff's Department, OH","EOW: Saturday, February 25, 1888",Cause of Death: Gunfire,Gunfire,1888-02-25,1888,FALSE,Ashland County Sheriff's Department, OH
Patrolman William Sanders,"Cincinnati Police Department, OH","EOW: Sunday, March 11, 1888",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1888-03-11,1888,FALSE,Cincinnati Police Department, OH
City Marshal David Gordon,"Columbus Police Department, KS","EOW: Friday, March 16, 1888",Cause of Death: Gunfire,Gunfire,1888-03-16,1888,FALSE,Columbus Police Department, KS
Detective Elie D. Kreigh,"Chicago and Alton Railroad Police Department, RR","EOW: Tuesday, April 3, 1888",Cause of Death: Gunfire,Gunfire,1888-04-03,1888,FALSE,Chicago and Alton Railroad Police Department, RR
Acting Deputy Sheriff Thomas H. Nowlin,"Llano County Sheriff's Office, TX","EOW: Thursday, April 5, 1888",Cause of Death: Gunfire,Gunfire,1888-04-05,1888,FALSE,Llano County Sheriff's Office, TX
Assistant Marshal Edward H. Davis,"Nelsonville Police Department, OH","EOW: Tuesday, April 24, 1888",Cause of Death: Gunfire,Gunfire,1888-04-24,1888,FALSE,Nelsonville Police Department, OH
Deputy Sheriff Jake Bowman,"Cochise County Sheriff's Department, AZ","EOW: Wednesday, April 25, 1888",Cause of Death: Gunfire,Gunfire,1888-04-25,1888,FALSE,Cochise County Sheriff's Department, AZ
Constable Albert P. Crigler,"Cloverdale Police Department, CA","EOW: Saturday, April 28, 1888",Cause of Death: Gunfire,Gunfire,1888-04-28,1888,FALSE,Cloverdale Police Department, CA
Police Officer John Pearce,"Monroe Police Department, NC","EOW: Sunday, May 6, 1888",Cause of Death: Assault,Assault,1888-05-06,1888,FALSE,Monroe Police Department, NC
Officer Thomas Donlon,"Lexington Police Department, KY","EOW: Saturday, May 12, 1888",Cause of Death: Gunfire,Gunfire,1888-05-12,1888,FALSE,Lexington Police Department, KY
"Deputy Sheriff Doctor A. ""John"" Shipe","Knox County Sheriff's Office, TN","EOW: Monday, May 21, 1888",Cause of Death: Gunfire,Gunfire,1888-05-21,1888,FALSE,Knox County Sheriff's Office, TN
Patrolman Thomas Chidlow,"Pittsburgh Police Department, PA","EOW: Thursday, May 24, 1888",Cause of Death: Struck by train,Struck by train,1888-05-24,1888,FALSE,Pittsburgh Police Department, PA
Deputy Constable Morris T. Dunn,"Fannin County Constable's Office - Precinct 7, TX","EOW: Saturday, May 26, 1888",Cause of Death: Gunfire,Gunfire,1888-05-26,1888,FALSE,Fannin County Constable's Office - Precinct 7, TX
Patrolman Timothy Sullivan,"Chicago Police Department, IL","EOW: Wednesday, June 13, 1888",Cause of Death: Gunfire,Gunfire,1888-06-13,1888,FALSE,Chicago Police Department, IL
Constable Sadosa Connellee,"Scott County Constable's Office, KY","EOW: Monday, June 25, 1888",Cause of Death: Gunfire,Gunfire,1888-06-25,1888,FALSE,Scott County Constable's Office, KY
Deputy U.S. Marshal John D. Trammel,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, June 26, 1888",Cause of Death: Gunfire,Gunfire,1888-06-26,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal John Phillips,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, June 30, 1888",Cause of Death: Gunfire,Gunfire,1888-06-30,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal William Whitson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, June 30, 1888",Cause of Death: Gunfire,Gunfire,1888-06-30,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Robert Lockwood,"Grant County Sheriff's Department, OR","EOW: Sunday, July 8, 1888",Cause of Death: Gunfire,Gunfire,1888-07-08,1888,FALSE,Grant County Sheriff's Department, OR
Constable Charles B. Dorris,"Summersville Police Department, MO","EOW: Wednesday, July 18, 1888",Cause of Death: Gunfire,Gunfire,1888-07-18,1888,FALSE,Summersville Police Department, MO
Deputy Sheriff Lilburn Henderson Trigg,"Washington County Sheriff's Office, VA","EOW: Tuesday, July 24, 1888",Cause of Death: Gunfire,Gunfire,1888-07-24,1888,FALSE,Washington County Sheriff's Office, VA
Sheriff John M. Cross,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Cyrus W. Eaton,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Robert Hubbard,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Roland Wilcox,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Park Policeman John Gardner,"St. Louis Park Rangers, MO","EOW: Wednesday, August 1, 1888",Cause of Death: Weather/Natural disaster,Weather/Natural disaster,1888-08-01,1888,FALSE,St. Louis Park Rangers, MO
Police Officer Hans Hanson,"St. Paul Police Department, MN","EOW: Friday, August 3, 1888",Cause of Death: Gunfire,Gunfire,1888-08-03,1888,FALSE,St. Paul Police Department, MN
Deputy Sheriff Cesario Lucero,"Cochise County Sheriff's Department, AZ","EOW: Sunday, August 12, 1888",Cause of Death: Gunfire,Gunfire,1888-08-12,1888,FALSE,Cochise County Sheriff's Department, AZ
Patrolman James W. Jones,"Louisville Police Department, KY","EOW: Thursday, August 16, 1888",Cause of Death: Stabbed,Stabbed,1888-08-16,1888,FALSE,Louisville Police Department, KY
Patrolman Joseph Rosenberg,"Louisville Police Department, KY","EOW: Thursday, August 16, 1888",Cause of Death: Stabbed,Stabbed,1888-08-16,1888,FALSE,Louisville Police Department, KY
Officer Frederick J. Palmore,"Springfield Police Department, MO","EOW: Thursday, August 16, 1888",Cause of Death: Gunfire,Gunfire,1888-08-16,1888,FALSE,Springfield Police Department, MO
Deputized Civilian Jasper N. Coghlan,"Wise County Sheriff's Office, TX","EOW: Saturday, September 8, 1888",Cause of Death: Gunfire,Gunfire,1888-09-08,1888,FALSE,Wise County Sheriff's Office, TX
Marshal John S. Harris,"Cedarville Police Department, OH","EOW: Wednesday, October 3, 1888",Cause of Death: Gunfire,Gunfire,1888-10-03,1888,FALSE,Cedarville Police Department, OH
City Marshal Edward F. Whittier,"Cheney Police Department, WA","EOW: Tuesday, October 9, 1888",Cause of Death: Animal related,Animal related,1888-10-09,1888,FALSE,Cheney Police Department, WA
"Police Officer Peter Poull, Jr.","Moorhead Police Department, MN","EOW: Wednesday, October 17, 1888",Cause of Death: Gunfire,Gunfire,1888-10-17,1888,FALSE,Moorhead Police Department, MN
Officer Willard S. Burton,"Elkhart Police Department, IN","EOW: Saturday, October 27, 1888",Cause of Death: Gunfire,Gunfire,1888-10-27,1888,FALSE,Elkhart Police Department, IN
Patrolman James Madison Collins,"Meridian Police Department, MS","EOW: Sunday, October 28, 1888",Cause of Death: Gunfire,Gunfire,1888-10-28,1888,FALSE,Meridian Police Department, MS
Patrolman James Brennan,"New York Municipal Police Department, NY","EOW: Sunday, October 28, 1888",Cause of Death: Gunfire,Gunfire,1888-10-28,1888,FALSE,New York Municipal Police Department, NY
Police Officer Patrick Shaughnessey,"Springfield Police Department, IL","EOW: Wednesday, November 7, 1888",Cause of Death: Gunfire,Gunfire,1888-11-07,1888,FALSE,Springfield Police Department, IL
Special Deputy Marshal Mose McIntosh,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, November 9, 1888",Cause of Death: Gunfire,Gunfire,1888-11-09,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Marshal D. J. Kinney,"Gadsden Police Department, AL","EOW: Thursday, November 22, 1888",Cause of Death: Gunfire,Gunfire,1888-11-22,1888,FALSE,Gadsden Police Department, AL
Night Watchman Samuel H. Hamilton,"Le Mars Police Department, IA","EOW: Saturday, November 24, 1888",Cause of Death: Gunfire,Gunfire,1888-11-24,1888,FALSE,Le Mars Police Department, IA
Patrolman Albert W. Thayer,"Detroit Police Department, MI","EOW: Monday, November 26, 1888",Cause of Death: Gunfire,Gunfire,1888-11-26,1888,FALSE,Detroit Police Department, MI
"Officer Thomas Roach, Jr.","Newark Police Department, OH","EOW: Thursday, November 29, 1888",Cause of Death: Gunfire,Gunfire,1888-11-29,1888,FALSE,Newark Police Department, OH
Deputy U.S. Marshal Thomas Goodson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, December 1, 1888",Cause of Death: Gunfire,Gunfire,1888-12-01,1888,FALSE,United States Department of Justice - United States Marshals Service, US
City Marshal Murdock McDuffie Wilcox,"Bryan Police Department, TX","EOW: Sunday, December 2, 1888",Cause of Death: Gunfire,Gunfire,1888-12-02,1888,FALSE,Bryan Police Department, TX
Sheriff Robert Lewis Jones,"Grant County Sheriff's Department, IN","EOW: Tuesday, December 11, 1888",Cause of Death: Gunfire,Gunfire,1888-12-11,1888,FALSE,Grant County Sheriff's Department, IN
Patrolman August W. Hasenkamp,"Cincinnati Police Department, OH","EOW: Monday, December 17, 1888",Cause of Death: Fall,Fall,1888-12-17,1888,FALSE,Cincinnati Police Department, OH
Sheriff Marion Dekalb Wallace,"Young County Sheriff's Office, TX","EOW: Monday, December 24, 1888",Cause of Death: Gunfire,Gunfire,1888-12-24,1888,FALSE,Young County Sheriff's Office, TX
Patrolman Henry Fahle,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, December 27, 1888",Cause of Death: Animal related,Animal related,1888-12-27,1888,FALSE,St. Louis Metropolitan Police Department, MO
Special Officer Hank Frost,"Nogales Police Department, AZ","EOW: Sunday, December 30, 1888",Cause of Death: Gunfire,Gunfire,1888-12-30,1888,FALSE,Nogales Police Department, AZ
Special Officer George E. Pray,"Dover Police Department, NH","EOW: Monday, December 31, 1888",Cause of Death: Gunfire,Gunfire,1888-12-31,1888,FALSE,Dover Police Department, NH
Patrolman William P. O'Neil,"Rochester Police Department, NY","EOW: Monday, December 31, 1888",Cause of Death: Gunfire,Gunfire,1888-12-31,1888,FALSE,Rochester Police Department, NY
Policeman George Thomas Seal,"Charlottesville Police Department, VA","EOW: Monday, December 31, 1888",Cause of Death: Gunfire,Gunfire,1888-12-31,1888,FALSE,Charlottesville Police Department, VA
Policeman Henry A. Balcom,"Washington County Sheriff's Department, ME","EOW: Tuesday, January 1, 1889",Cause of Death: Gunfire,Gunfire,1889-01-01,1889,FALSE,Washington County Sheriff's Department, ME
Sergeant Albert A. Thurston,"Buffalo Police Department, NY","EOW: Friday, January 11, 1889",Cause of Death: Struck by train,Struck by train,1889-01-11,1889,FALSE,Buffalo Police Department, NY
Constable M. M. Givins,"Potter County Constable's Office - Precinct 1, TX","EOW: Saturday, January 12, 1889",Cause of Death: Gunfire,Gunfire,1889-01-12,1889,FALSE,Potter County Constable's Office - Precinct 1, TX
Constable Charles F. Perdue,"Cass County Constable's Office - Precinct 6, TX","EOW: Monday, January 21, 1889",Cause of Death: Gunfire,Gunfire,1889-01-21,1889,FALSE,Cass County Constable's Office - Precinct 6, TX
Officer Phillip Pitts,"Saugus Police Department, MA","EOW: Saturday, January 26, 1889",Cause of Death: Gunfire,Gunfire,1889-01-26,1889,FALSE,Saugus Police Department, MA
